v1,v2,v3,v4,Duty Cycle
4.794113521,4.794113521,4.794113521,4.794113521,0.716499916
12.16914312,12.16914312,12.16914312,12.16914312,0.6892256
9.369522455,9.369522455,9.369522455,9.369522455,0.697331985
7.662828598,7.662828598,7.662828598,7.662828598,0.713164032
1.997038598,1.997038598,1.997038598,1.997038598,0.704104467
1.99672986,1.99672986,1.99672986,1.99672986,0.716928552
0.743470236,0.743470236,0.743470236,0.743470236,0.728060395
11.08705467,11.08705467,11.08705467,11.08705467,0.685827334
7.69427215,7.69427215,7.69427215,7.69427215,0.715478386
9.063328996,9.063328996,9.063328996,9.063328996,0.691517208
0.263481527,0.263481527,0.263481527,0.263481527,0.700723836
12.41484611,12.41484611,12.41484611,12.41484611,0.681643136
10.6552658,10.6552658,10.6552658,10.6552658,0.686795369
2.717940617,2.717940617,2.717940617,2.717940617,0.695988864
2.32735958,2.32735958,2.32735958,2.32735958,0.69709929
2.347577726,2.347577726,2.347577726,2.347577726,0.724979261
3.89430071,3.89430071,3.89430071,3.89430071,0.717090645
6.716882325,6.716882325,6.716882325,6.716882325,0.728609148
5.528896239,5.528896239,5.528896239,5.528896239,0.709953576
3.727732995,3.727732995,3.727732995,3.727732995,0.692085687
7.831717052,7.831717052,7.831717052,7.831717052,0.696382751
1.785521416,1.785521416,1.785521416,1.785521416,0.695991796
3.739451501,3.739451501,3.739451501,3.739451501,0.696324716
4.689431594,4.689431594,4.689431594,4.689431594,0.713648209
5.837695798,5.837695798,5.837695798,5.837695798,0.706540396
10.05025231,10.05025231,10.05025231,10.05025231,0.699271209
2.555824412,2.555824412,2.555824412,2.555824412,0.687454488
6.582200812,6.582200812,6.582200812,6.582200812,0.681106958
7.582906481,7.582906481,7.582906481,7.582906481,0.690941734
0.594565283,0.594565283,0.594565283,0.594565283,0.68537357
7.776574104,7.776574104,7.776574104,7.776574104,0.719272252
2.182708783,2.182708783,2.182708783,2.182708783,0.685624898
0.83266039,0.83266039,0.83266039,0.83266039,0.716211412
12.14573488,12.14573488,12.14573488,12.14573488,0.699282934
12.36009002,12.36009002,12.36009002,12.36009002,0.683668919
10.34748606,10.34748606,10.34748606,10.34748606,0.720636502
3.899056245,3.899056245,3.899056245,3.899056245,0.708981529
1.250203059,1.250203059,1.250203059,1.250203059,0.691788076
8.758182739,8.758182739,8.758182739,8.758182739,0.724734059
5.63395192,5.63395192,5.63395192,5.63395192,0.682262916
1.562089406,1.562089406,1.562089406,1.562089406,0.69009098
6.338264449,6.338264449,6.338264449,6.338264449,0.717602346
0.44017307,0.44017307,0.44017307,0.44017307,0.715468897
11.63930115,11.63930115,11.63930115,11.63930115,0.694463585
3.312383764,3.312383764,3.312383764,3.312383764,0.683101244
8.48028524,8.48028524,8.48028524,8.48028524,0.722903904
3.989901774,3.989901774,3.989901774,3.989901774,0.695684882
6.656870671,6.656870671,6.656870671,6.656870671,0.689785671
6.997891576,6.997891576,6.997891576,6.997891576,0.705803091
2.366137031,2.366137031,2.366137031,2.366137031,0.72551136
12.41068324,12.41068324,12.41068324,12.41068324,0.682177329
9.921700139,9.921700139,9.921700139,9.921700139,0.718290204
12.02558645,12.02558645,12.02558645,12.02558645,0.708623661
11.45379009,11.45379009,11.45379009,11.45379009,0.701272456
7.653119729,7.653119729,7.653119729,7.653119729,0.717204022
11.79999021,11.79999021,11.79999021,11.79999021,0.728291221
1.132704026,1.132704026,1.132704026,1.132704026,0.691460311
2.508580639,2.508580639,2.508580639,2.508580639,0.687182368
0.578909298,0.578909298,0.578909298,0.578909298,0.725644087
4.164228234,4.164228234,4.164228234,4.164228234,0.713447654
4.975069308,4.975069308,4.975069308,4.975069308,0.701899301
3.473267607,3.473267607,3.473267607,3.473267607,0.708662979
10.60784012,10.60784012,10.60784012,10.60784012,0.717280695
4.566442582,4.566442582,4.566442582,4.566442582,0.718651595
3.595961724,3.595961724,3.595961724,3.595961724,0.725994709
6.946509864,6.946509864,6.946509864,6.946509864,0.701342139
1.80383008,1.80383008,1.80383008,1.80383008,0.694670546
10.26812135,10.26812135,10.26812135,10.26812135,0.711983213
0.954248239,0.954248239,0.954248239,0.954248239,0.700786395
12.63215279,12.63215279,12.63215279,12.63215279,0.709729923
9.884733047,9.884733047,9.884733047,9.884733047,0.70099929
2.543560724,2.543560724,2.543560724,2.543560724,0.687649789
0.070683099,0.070683099,0.070683099,0.070683099,0.703471338
10.43790628,10.43790628,10.43790628,10.43790628,0.714545891
9.047774001,9.047774001,9.047774001,9.047774001,0.71996419
9.331291751,9.331291751,9.331291751,9.331291751,0.704666314
9.872260438,9.872260438,9.872260438,9.872260438,0.688261895
0.947771542,0.947771542,0.947771542,0.947771542,0.700734385
4.588361325,4.588361325,4.588361325,4.588361325,0.719314696
1.483123962,1.483123962,1.483123962,1.483123962,0.700642964
11.04772385,11.04772385,11.04772385,11.04772385,0.71482654
7.978216023,7.978216023,7.978216023,7.978216023,0.705360684
4.235494718,4.235494718,4.235494718,4.235494718,0.692061156
0.813546884,0.813546884,0.813546884,0.813546884,0.719807525
3.980573718,3.980573718,3.980573718,3.980573718,0.684210673
4.162346522,4.162346522,4.162346522,4.162346522,0.706244514
9.338959083,9.338959083,9.338959083,9.338959083,0.690444552
8.160735633,8.160735633,8.160735633,8.160735633,0.683353281
11.3563231,11.3563231,11.3563231,11.3563231,0.705146697
6.044351042,6.044351042,6.044351042,6.044351042,0.704978108
1.530806348,1.530806348,1.530806348,1.530806348,0.715345045
9.129533276,9.129533276,9.129533276,9.129533276,0.717237535
9.738048622,9.738048622,9.738048622,9.738048622,0.716389574
7.184348129,7.184348129,7.184348129,7.184348129,0.700477937
9.868379903,9.868379903,9.868379903,9.868379903,0.711584489
6.320583633,6.320583633,6.320583633,6.320583633,0.708847262
6.690980216,6.690980216,6.690980216,6.690980216,0.701078088
5.472525035,5.472525035,5.472525035,5.472525035,0.709860635
0.325364822,0.325364822,0.325364822,0.325364822,0.727362394
1.381010266,1.381010266,1.381010266,1.381010266,0.689644687
0.402293577,0.402293577,0.402293577,0.402293577,0.725288605
8.146053264,8.146053264,8.146053264,8.146053264,0.682672776
4.023756558,4.023756558,4.023756558,4.023756558,0.695419461
6.509704847,6.509704847,6.509704847,6.509704847,0.694407262
11.61685087,11.61685087,11.61685087,11.61685087,0.711318255
3.190940533,3.190940533,3.190940533,3.190940533,0.686561248
5.252901415,5.252901415,5.252901415,5.252901415,0.724117381
9.671054573,9.671054573,9.671054573,9.671054573,0.72142757
2.928616518,2.928616518,2.928616518,2.928616518,0.712603291
0.985342846,0.985342846,0.985342846,0.985342846,0.702920692
3.708818597,3.708818597,3.708818597,3.708818597,0.726647802
2.063632477,2.063632477,2.063632477,2.063632477,0.721537328
11.90012995,11.90012995,11.90012995,11.90012995,0.704965757
10.34394086,10.34394086,10.34394086,10.34394086,0.715093668
8.107568083,8.107568083,8.107568083,8.107568083,0.708346498
11.15469555,11.15469555,11.15469555,11.15469555,0.709397112
10.28700258,10.28700258,10.28700258,10.28700258,0.696548803
2.388096754,2.388096754,2.388096754,2.388096754,0.70310423
11.42475518,11.42475518,11.42475518,11.42475518,0.683906072
6.903580697,6.903580697,6.903580697,6.903580697,0.697867435
10.33523399,10.33523399,10.33523399,10.33523399,0.714791426
11.46996864,11.46996864,11.46996864,11.46996864,0.727660802
4.07044448,4.07044448,4.07044448,4.07044448,0.728153206
1.408664634,1.408664634,1.408664634,1.408664634,0.707786143
2.917570081,2.917570081,2.917570081,2.917570081,0.710331113
5.466979694,5.466979694,5.466979694,5.466979694,0.689286059
10.470589,10.470589,10.470589,10.470589,0.714765405
11.01735147,11.01735147,11.01735147,11.01735147,0.68353294
0.088987271,0.088987271,0.088987271,0.088987271,0.694234284
6.537565473,6.537565473,6.537565473,6.537565473,0.713418167
5.34286084,5.34286084,5.34286084,5.34286084,0.695515507
2.842979974,2.842979974,2.842979974,2.842979974,0.682492344
1.534276702,1.534276702,1.534276702,1.534276702,0.72159352
4.321474194,4.321474194,4.321474194,4.321474194,0.6955165
12.06924421,12.06924421,12.06924421,12.06924421,0.683155261
4.13699753,4.13699753,4.13699753,4.13699753,0.683739408
6.640519958,6.640519958,6.640519958,6.640519958,0.69258794
8.998642674,8.998642674,8.998642674,8.998642674,0.688900797
4.65445891,4.65445891,4.65445891,4.65445891,0.718715006
12.43881066,12.43881066,12.43881066,12.43881066,0.696084202
12.31932538,12.31932538,12.31932538,12.31932538,0.720234789
3.222813387,3.222813387,3.222813387,3.222813387,0.6886923
6.364780875,6.364780875,6.364780875,6.364780875,0.704643959
3.851242366,3.851242366,3.851242366,3.851242366,0.714401857
